total_events_h12,event_type_diversity_h12,unique_repos_h12,last_active_minute_h12,first_active_minute_h12,activity_duration_h12,push_count_h12,pr_count_h12,minutes_since_last_action_h12,is_active_next_hour,total_events_h12_capped,unique_repos_h12_capped,events_per_repo,diversity_score,log_total_events,is_bot_suspect
4,2,1,12,12,0.0,2.0,2.0,48,0,4,1,2.0,0.5,1.6094379124341003,0
1,1,1,52,52,0.0,1.0,0.0,8,0,1,1,0.5,1.0,0.6931471805599453,0
6,3,1,58,22,15.731073284002802,4.0,1.0,2,1,6,1,3.0,0.5,1.9459101490553132,0
14,5,1,40,2,14.59414303715744,3.0,5.0,20,0,14,1,7.0,0.35714285714285715,2.70805020110221,0
1,1,1,43,43,0.0,1.0,0.0,17,0,1,1,0.5,1.0,0.6931471805599453,0
2,1,1,42,38,2.8284271247461903,0.0,0.0,18,1,2,1,1.0,0.5,1.0986122886681098,0
1,1,1,16,16,0.0,1.0,0.0,44,0,1,1,0.5,1.0,0.6931471805599453,0
3,1,1,56,0,28.589042189855423,3.0,0.0,4,0,3,1,1.5,0.3333333333333333,1.3862943611198906,0
9,1,1,58,3,17.804493814764857,9.0,0.0,2,1,9,1,4.5,0.1111111111111111,2.302585092994046,0
2,1,1,41,33,5.656854249492381,2.0,0.0,19,0,2,1,1.0,0.5,1.0986122886681098,0
1,1,1,31,31,0.0,1.0,0.0,29,0,1,1,0.5,1.0,0.6931471805599453,0
1,1,1,14,14,0.0,1.0,0.0,46,0,1,1,0.5,1.0,0.6931471805599453,0
2,1,1,43,4,27.577164466275352,2.0,0.0,17,0,2,1,1.0,0.5,1.0986122886681098,0
3,1,1,53,15,19.008769905844336,3.0,0.0,7,0,3,1,1.5,0.3333333333333333,1.3862943611198906,0
6,1,1,50,4,18.736773112429653,6.0,0.0,10,1,6,1,3.0,0.16666666666666666,1.9459101490553132,0
2,1,1,54,35,13.435028842544403,2.0,0.0,6,0,2,1,1.0,0.5,1.0986122886681098,0
1,1,1,3,3,0.0,1.0,0.0,57,0,1,1,0.5,1.0,0.6931471805599453,0
4,2,1,10,10,0.0,2.0,2.0,50,0,4,1,2.0,0.5,1.6094379124341003,0
3,1,2,58,53,2.88675134594813,0.0,0.0,2,0,3,2,1.0,0.3333333333333333,1.3862943611198906,0
5,2,1,40,19,10.27131929208707,3.0,0.0,20,1,5,1,2.5,0.4,1.791759469228055,0
3,1,1,28,28,0.0,3.0,0.0,32,0,3,1,1.5,0.3333333333333333,1.3862943611198906,0
1,1,1,54,54,0.0,1.0,0.0,6,0,1,1,0.5,1.0,0.6931471805599453,0
2,1,1,57,25,22.627416997969522,2.0,0.0,3,0,2,1,1.0,0.5,1.0986122886681098,0
28,1,1,58,0,18.584107393658904,28.0,0.0,2,1,28,1,14.0,0.03571428571428571,3.367295829986474,0
10,1,1,57,7,17.126976771553505,10.0,0.0,3,1,10,1,5.0,0.1,2.3978952727983707,0
4,3,1,6,5,0.5773502691896258,2.0,1.0,54,0,4,1,2.0,0.75,1.6094379124341003,0
1,1,1,59,59,0.0,0.0,0.0,1,0,1,1,0.5,1.0,0.6931471805599453,0
3,1,1,53,15,19.008769905844336,3.0,0.0,7,0,3,1,1.5,0.3333333333333333,1.3862943611198906,0
